Pair_ID,NetFlow_Field,CICFlowMeter_Field,Physical_Quantity_NetFlow,Physical_Quantity_CICFlowMeter,Units_NetFlow,Units_CICFlowMeter,Directionality_NetFlow,Directionality_CICFlowMeter,Computation_NetFlow,Computation_CICFlowMeter,Compatibility_Verdict,Primary_Authoritative_Source,Technical_Evidence_Rationale
11,SRC_TO_DST_SECOND_BYTES,Flow Bytes/s,Forward bytes transferred in second sampled interval,Bidirectional transfer rate per second,Bytes / window,Bytes / second,Forward,Bidirectional,Windowed byte accumulator,Total bytes divided by duration in seconds,Approximate,nProbe docs vs CICFlowMeter source,Rate calculation mismatch: instantaneous sub-sampled window volume vs average flow-wide transfer rate.
12,TCP_WIN_MAX_IN,Init Fwd Win Bytes,Peak TCP advertised window size in forward direction,Initial TCP advertised window size in forward direction,Bytes,Bytes,Forward,Forward,Maximum TCP window across flow,TCP window in initial SYN packet,Approximate,RFC 793 / nProbe docs vs CICFlowMeter,Aggregation mismatch: peak dynamic window size across flow lifetime vs static initial SYN handshake window.
13,TCP_WIN_MAX_OUT,Init Bwd Win Bytes,Peak TCP advertised window size in backward direction,Initial TCP advertised window size in backward direction,Bytes,Bytes,Backward,Backward,Maximum TCP window across flow,TCP window in initial SYN/ACK packet,Approximate,RFC 793 / nProbe docs vs CICFlowMeter,Aggregation mismatch: peak dynamic window size across flow lifetime vs static initial SYN/ACK handshake window.
14,SRC_TO_DST_AVG_THROUGHPUT,Fwd Header Length,Forward transmission bitrate,Total cumulative forward packet header size,Bits / second (bps),Bytes,Forward,Forward,Bit rate calculation (bits / sec),Header byte accumulation (bytes),Incompatible,RFC 7012 vs CICFlowMeter source,Dimensional mismatch: transmission rate (bits/sec) mapped to cumulative packet header storage (bytes).
15,DST_TO_SRC_AVG_THROUGHPUT,Bwd Header Length,Backward transmission bitrate,Total cumulative backward packet header size,Bits / second (bps),Bytes,Backward,Backward,Bit rate calculation (bits / sec),Header byte accumulation (bytes),Incompatible,RFC 7012 vs CICFlowMeter source,Dimensional mismatch: transmission rate (bits/sec) mapped to cumulative packet header storage (bytes).
16,TCP_FLAGS,Fwd PSH Flags,Cumulative bitwise-OR mask of all TCP control bits,Count of forward packets with PSH flag set,8-bit bitmask (0-255),Packet count (integer),Bidirectional,Forward,Bitwise-OR accumulator (SYN|ACK|FIN|RST|PSH|URG),Discrete counter of PSH-enabled packets,Incompatible,RFC 793 (TCP Control Bits) vs CICFlowMeter,Semantic representation mismatch: bitwise cumulative state mask (0-255) mapped to discrete forward PSH flag count.
17,RETRANSMITTED_IN_PKTS,Fwd Avg Packets/Bulk,Count of retransmitted packets from source,Average packet count per forward bulk transfer,Packets (retransmission),Packets / bulk stage,Forward,Forward,TCP sequence retransmission counter,Bulk transfer stage average,Incompatible,nProbe docs vs CICFlowMeter source,Semantic phenomenon mismatch: packet loss recovery count mapped to bulk data transmission state statistic.
18,RETRANSMITTED_OUT_PKTS,Bwd Avg Packets/Bulk,Count of retransmitted packets from destination,Average packet count per backward bulk transfer,Packets (retransmission),Packets / bulk stage,Backward,Backward,TCP sequence retransmission counter,Bulk transfer stage average,Incompatible,nProbe docs vs CICFlowMeter source,Semantic phenomenon mismatch: packet loss recovery count mapped to bulk data transmission state statistic.
19,RETRANSMITTED_IN_BYTES,Fwd Avg Bytes/Bulk,Bytes retransmitted from source,Average byte count per forward bulk transfer,Bytes (retransmission),Bytes / bulk stage,Forward,Forward,TCP payload retransmission byte sum,Bulk transfer stage average,Incompatible,nProbe docs vs CICFlowMeter source,Semantic phenomenon mismatch: packet loss recovery volume mapped to bulk data transmission state statistic.
20,RETRANSMITTED_OUT_BYTES,Bwd Avg Bytes/Bulk,Bytes retransmitted from destination,Average byte count per backward bulk transfer,Bytes (retransmission),Bytes / bulk stage,Backward,Backward,TCP payload retransmission byte sum,Bulk transfer stage average,Incompatible,nProbe docs vs CICFlowMeter source,Semantic phenomenon mismatch: packet loss recovery volume mapped to bulk data transmission state statistic.
21,NUM_PKTS_UP_TO_128_BYTES,Subflow Fwd Packets,Count of packets with total length <= 128 bytes,Count of forward packets in current subflow,Packets (histogram bin),Packets (subflow),Bidirectional,Forward,Packet length distribution bin accumulator,Subflow temporal partition packet counter,Incompatible,nProbe docs vs CICFlowMeter source,Structural mismatch: packet size histogram bin count (<= 128 bytes) mapped to temporal subflow decomposition counter.
